_ID	STORY	DELIMS	TOKENS	TYPES
502	A	11	51	26
502	B	7	35	20
503	A	9	46	26
503	B	5	36	17
504	A	6	27	22
504	B	13	64	42
505	A	7	35	21
505	B	5	35	25
506	A	0	0	0
506	B	0	0	0
507	A	0	0	0
507	B	8	41	19
508	A	0	0	0
508	B	11	41	22
509	A	15	80	36
509	B	10	73	35
510	A	16	93	40
510	B	17	106	46
511	A	8	38	15
511	B	6	41	30
512	A	8	40	24
512	B	8	53	34
513	A	14	78	33
513	B	9	37	23
520	A	5	31	14
520	B	6	27	14
521	A	7	42	23
521	B	8	43	25
522	A	2	17	15
522	B	2	19	12
523	A	6	26	17
523	B	1	9	8
524	A	5	50	23
524	B	0	17	11
525	A	1	50	15
525	B	0	6	6
526	A	0	27	3
526	B	0	0	0
527	A	0	10	2
527	B	0	4	3
528	A	4	16	12
529	A	11	64	34
529	B	10	39	18
530	A	10	50	23
530	B	10	53	34
531	A	5	32	10
531	B	8	57	34
532	A	0	6	2
533	A	7	28	18
533	B	10	60	28
534	A	4	25	16
534	B	0	10	8
535	A	6	35	19
535	B	8	40	25
536	A	6	32	24
536	B	6	39	25
537	A	9	50	32
537	B	10	58	36
538	A	5	22	16
538	B	5	26	16
539	A	2	10	9
539	B	1	11	9
540	A	9	45	23
540	B	12	68	41
541	A	5	24	13
541	B	7	34	20
542	A	6	24	14
542	B	5	28	12
543	A	0	0	0
544	A	5	34	22
544	B	9	48	26
545	A	13	78	35
545	B	14	74	35
546	A	4	14	9
546	B	7	29	16
547	A	0	0	0
547	B	0	0	0
548	A	8	29	20
548	B	14	75	39
549	A	1	5	4
549	B	1	8	8
550	A	5	14	4
550	B	3	11	4
551	A	6	24	15
551	B	6	21	13
552	A	5	18	13
552	B	5	33	18
553	A	4	66	43
553	B	6	26	16
554	A	6	15	9
554	B	5	19	11
555	A	5	21	16
555	B	6	22	11
556	A	5	25	16
556	B	5	22	16
557	A	14	70	32
557	B	9	51	27
558	A	11	50	30
558	B	10	39	19
559	A	29	155	51
559	B	6	30	16
560	A	1	9	7
560	B	1	8	8
561	A	5	24	17
561	B	4	17	14
562	A	14	85	41
562	B	7	41	29
563	A	6	37	22
563	B	8	58	28
564	A	3	16	12
564	B	8	45	23
565	A	0	8	6
565	B	6	29	14
566	A	0	0	0
567	A	5	19	11
567	B	6	26	12
568	A	8	43	28
568	B	8	67	33
569	A	4	17	10
569	B	7	47	29
570	A	9	40	25
570	B	5	20	15
571	A	6	36	16
571	B	0	11	6
572	A	7	36	25
572	B	9	46	24
573	A	4	15	14
573	B	5	17	10
574	A	0	0	0
574	B	3	17	13
575	A	4	12	10
575	B	5	26	15
576	A	9	48	25
576	B	10	50	32
577	A	11	55	28
577	B	6	31	18
578	A	4	23	15
579	A	19	111	43
579	B	15	111	50
580	A	5	45	29
580	B	13	90	42
581	A	4	18	9
581	B	4	30	12
582	A	7	37	20
582	B	5	29	17
583	A	11	58	32
583	B	8	39	23
584	A	0	0	0
584	B	1	3	3
585	A	0	0	0
585	B	0	0	0
586	A	4	19	14
586	B	6	25	5
587	A	0	0	0
587	B	0	5	3
588	A	7	39	23
588	B	6	31	20
589	A	6	36	20
589	B	6	26	18
590	A	0	0	0
590	B	5	20	15
591	A	0	0	0
592	A	1	4	4
593	A	0	19	5
593	B	0	20	9
594	A	0	3	3
595	A	0	0	0
596	A	0	5	3
596	B	0	2	2
597	A	0	3	3
597	B	4	18	11
598	A	6	24	14
598	B	5	25	15
600	A	4	36	25
600	B	7	40	25
601	A	14	103	53
601	B	14	65	37
602	A	8	47	23
602	B	0	0	0
605	A	9	43	27
605	B	2	13	10
606	A	8	37	21
606	B	7	49	32
607	A	6	45	26
607	B	7	49	25
608	A	0	94	16
608	B	15	131	51
609	A	8	48	24
609	B	9	49	24
610	A	6	24	16
610	B	16	79	47
611	A	7	38	24
611	B	6	23	14
612	A	24	138	54
612	B	11	82	41
613	A	0	0	0
613	B	0	8	5
614	A	0	9	8
614	B	1	2	2
615	A	2	8	8
615	B	4	42	14
616	A	1	6	4
616	B	0	5	2
617	A	0	0	0
618	A	2	13	10
618	B	0	0	0
620	A	3	30	25
620	B	9	46	25
621	A	0	5	4
621	B	3	10	9
622	A	2	23	17
622	B	6	27	20
623	A	7	49	23
623	B	6	24	16
624	A	10	55	32
624	B	10	64	37
625	A	0	0	0
625	B	7	30	21
626	A	4	24	16
626	B	2	14	8
627	A	8	40	24
627	B	15	73	36
628	A	0	0	0
628	B	6	22	12
629	A	5	29	18
629	B	5	26	21
630	A	11	54	22
630	B	11	52	24
631	A	7	44	26
631	B	4	20	14
632	A	12	56	27
632	B	13	59	34
633	A	9	57	33
633	B	11	69	40
634	A	10	51	26
634	B	9	43	28
635	A	13	76	42
635	B	10	56	29
636	A	0	10	5
636	B	0	54	18
637	A	0	51	35
637	B	0	22	18
638	A	10	45	22
638	B	6	30	23
639	A	4	19	13
639	B	0	15	7
650	A	0	0	0
650	B	3	24	14
651	A	7	37	21
651	B	5	20	15
652	A	9	60	35
652	B	7	35	26
653	A	10	54	30
653	B	11	53	30
654	A	5	23	16
654	B	8	38	25
655	A	7	42	19
655	B	5	30	21
656	A	16	108	47
656	B	9	55	34
657	A	6	28	18
657	B	8	56	33
658	A	9	40	26
658	B	27	119	48
659	A	7	34	21
659	B	7	42	26
662	A	9	48	27
662	B	7	39	22
663	A	10	57	36
663	B	11	52	31
664	A	7	32	20
664	B	6	24	15
665	A	9	36	25
665	B	4	21	17
666	A	5	26	13
666	B	8	31	24
667	A	4	17	10
667	B	6	33	15
668	A	8	36	22
668	B	8	47	20
669	A	5	27	17
669	B	6	28	20
670	A	5	22	12
670	B	5	22	14
671	A	10	60	38
671	B	8	38	26
680	A	11	51	29
680	B	5	22	9
681	A	8	40	21
681	B	7	42	27
683	A	7	45	24
683	B	12	59	28
684	A	6	27	15
684	B	6	39	21
685	A	6	26	15
685	B	11	67	31
686	A	9	41	27
687	A	11	69	33
687	B	7	43	24
688	A	8	43	22
688	B	9	42	26
690	A	9	41	23
690	B	9	43	21
691	A	5	29	18
691	B	4	20	14
692	A	14	77	37
692	B	16	83	49
693	A	14	61	36
693	B	8	37	25
694	A	9	42	24
694	B	6	28	15
695	A	7	29	17
695	B	5	18	15
696	A	11	64	31
696	B	19	118	56
