ID	STORY	PAGE	|	CLAUSES
100	A	9	7
100	B	6	4
101	A	5	5
101	B	6	5
102	A	8	6
102	B	14	8
103	A	7	6
103	B	10	6
104	A	6	5
104	B	15	6
105	A	6	5
105	B	7	5
106	A	6	5
106	B	6	5
107	A	7	5
107	B	6	5
108	A	11	6
108	B	16	6
109	A	0	0
109	B	13	12
110	A	6	6
110	B	17	6
111	A	7	5
111	B	14	6
112	A	15	9
112	B	10	6
113	A	9	7
113	B	10	5
114	A	8	5
114	B	15	5
115	A	4	4
115	B	9	5
116	A	11	7
116	B	20	8
117	A	12	6
117	B	11	5
118	A	8	7
118	B	8	6
119	A	8	6
119	B	7	6
150	A	8	6
150	B	7	5
151	A	13	5
151	B	12	9
152	A	7	6
152	B	7	6
153	A	7	6
153	B	8	5
154	A	7	4
154	B	12	5
155	A	5	5
155	B	7	5
156	A	2	2
156	B	0	0
157	A	5	5
157	B	7	5
158	A	10	9
158	B	4	3
159	A	6	5
159	B	6	5
160	A	8	5
160	B	18	14
161	A	10	5
161	B	10	8
162	A	8	5
162	B	7	6
163	A	5	5
163	B	8	6
164	A	14	5
164	B	7	5
165	A	0	
165	B	0	0
166	A	6	5
166	B	10	6
167	A	17	13
167	B	21	10
168	A	9	7
168	B	13	6
169	A	6	5
169	B	9	5
170	A	14	9
170	B	9	5
171	A	3	3
171	B	6	5
172	A	10	5
172	B	14	8
173	A	6	5
173	B	8	6
174	A	14	7
174	B	7	5
175	A	14	11
175	B	5	5
176	A	6	6
176	B	7	7
177	A	5	5
177	B	8	6
178	A	8	7
178	B	7	7
179	A	15	5
179	B	13	9
180	A	0	
180	B	7	6
181	A	0	
181	B	7	6
182	A	6	5
182	B	7	5
183	A	6	5
183	B	5	5
184	A	5	5
184	B	3	3
185	A	9	7
185	B	10	5
186	A	10	5
186	B	10	7
187	A	4	4
187	B	5	4
188	A	6	5
188	B	8	5
200	A	7	6
200	B	4	4
201	A	0	0
201	B	3	3
202	A	6	6
202	B	11	6
204	A	16	10
204	B	10	7
205	A	11	6
205	B	12	9
206	A	6	5
206	B	14	7
207	A	15	11
207	B	2	2
210	A	1	1
210	B	0	0
211	A	4	4
211	B	5	5
212	A	20	13
212	B	25	15
213	A	9	7
213	B	0	0
214	A	6	6
214	B	0	0
215	A	10	6
215	B	9	5
216	A	11	6
216	B	6	5
217	A	0	0
217	B	0	0
218	A	8	5
218	B	0	0
220	A	8	7
220	B	6	5
221	A	6	2
221	B	6	6
222	A	0	0
222	B	0	0
223	A	0	0
223	B	0	0
224	A	7	4
224	B	7	6
225	A	4	3
225	B	8	7
226	A	24	15
226	B	8	6
227	A	7	5
227	B	9	9
228	A	3	3
228	B	0	0
230	A	0	0
230	B	6	6
231	A	8	5
231	B	6	6
233	A	6	6
233	B	0	0
235	A	8	5
235	B	4	4
236	A	2	2
236	B	0	0
237	A	6	6
237	B	1	1
238	A	12	6
238	B	1	1
239	A	0	0
239	B	0	0
242	A	0	0
242	B	4	4
250	A	11	7
250	B	12	8
251	A	0	
251	B	12	12
