22	2
24	2
25	2
27	2
28	2
29	2
33	2
37	2
38	2
39	2
40	2
42	2
43	2
44	2
45	2
47	2
48	2
49	2
50	2
51	2
54	2
55	2
58	2
59	2
61	2
62	2
64	2
65	2
66	2
68	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
87	2
88	2
89	2
91	2
92	2
100	2
102	2
103	2
105	2
106	2
107	2
108	2
109	2
110	2
119	2
123	2
124	2
125	2
126	2
127	2
22	5
24	5
25	5
27	5
28	5
29	5
33	5
37	5
38	5
39	5
40	5
73	5
74	5
75	5
76	5
77	5
78	5
79	5
80	5
81	5
82	5
83	5
84	5
85	5
87	5
88	5
89	5
91	5
92	5
100	5
102	5
103	5
105	5
106	5
107	5
108	5
109	5
110	5
119	5
123	5
124	5
125	5
126	5
127	5
62	9
66	9
22	12
38	12
44	12
45	12
49	12
55	12
61	12
62	12
66	12
77	12
80	12
81	12
84	12
88	12
100	12
106	12
107	12
109	12
119	12
127	12
