SUBJ	SESS	SPKR	VTYPS	VTOKS
44	9	C	104	736
44	9	P	22	30
44	10	C	84	504
44	10	P	10	18
44	11	C	73	380
44	11	P	12	22
44	12	C	95	701
44	12	P	32	91
45	1	P	76	398
45	2	C	2	10
45	2	P	89	530
45	3	C	25	130
45	3	P	76	560
45	4	C	82	446
45	4	P	113	811
45	5	C	74	532
45	5	P	99	607
45	6	C	81	418
45	6	P	87	555
45	7	C	90	569
45	7	P	93	537
45	8	C	102	547
45	8	P	107	763
45	9	C	62	292
45	9	P	81	371
45	10	C	62	235
45	10	P	97	518
45	11	C	83	474
45	11	P	102	582
45	12	C	87	553
45	12	P	103	497
47	1	C	1	1
47	1	P	97	680
47	2	C	2	40
47	2	P	92	476
47	3	C	6	49
47	3	P	104	664
47	4	C	25	89
47	4	P	103	750
47	5	C	31	140
47	5	P	101	763
47	6	C	42	266
47	6	P	115	645
47	7	C	71	457
47	7	P	98	680
47	8	C	57	340
47	8	P	116	946
47	9	C	61	383
47	9	P	70	369
47	10	C	48	290
47	10	P	113	612
47	11	C	89	475
47	11	P	113	675
47	12	C	64	430
47	12	P	219	1420
48	1	P	91	798
48	2	C	1	1
48	2	P	121	1055
48	3	P	95	831
48	4	C	1	1
48	4	P	72	579
48	5	C	32	110
48	5	P	119	1084
48	6	C	60	450
48	6	P	95	1125
48	7	C	64	441
48	7	P	153	1401
48	8	C	69	408
48	8	P	117	1294
48	9	C	69	482
48	9	P	105	946
48	10	C	68	458
48	10	P	106	1010
48	11	C	67	455
48	11	P	110	1611
48	12	C	71	587
48	12	P	116	1377
49	1	P	105	639
49	2	P	107	594
49	3	P	89	571
49	4	C	10	46
49	4	P	86	508
49	5	C	28	108
49	5	P	113	1126
49	6	C	41	194
49	6	P	131	1034
49	7	C	55	319
49	7	P	129	1281
49	8	C	59	278
49	8	P	164	1460
49	9	C	62	455
49	9	P	122	1057
49	10	C	65	391
49	10	P	131	1284
49	11	C	79	384
49	12	C	62	304
49	12	P	110	632
50	1	P	101	800
50	2	P	126	919
50	3	C	14	37
50	3	P	111	835
50	4	C	49	300
50	4	P	101	707
50	5	C	57	339
50	5	P	84	481
50	6	C	60	321
50	6	P	89	528
50	7	C	49	183
50	7	P	87	461
50	8	C	80	333
50	8	P	101	581
50	9	C	62	277
50	9	P	73	396
50	10	C	100	437
50	10	P	95	502
50	11	C	82	413
50	11	P	69	294
50	12	C	58	289
50	12	P	61	257
51	1	P	81	573
51	2	C	3	10
51	2	P	84	609
51	3	C	16	37
51	3	P	95	581
51	4	C	24	64
51	4	P	112	614
51	5	C	45	190
51	5	P	101	811
51	6	C	48	281
51	6	P	87	547
51	7	C	65	297
51	7	P	111	692
51	8	C	62	318
51	8	P	93	473
51	9	C	70	391
51	9	P	73	338
51	10	C	86	684
51	10	P	55	183
51	11	C	77	343
51	11	P	93	421
51	12	C	122	714
51	12	P	30	74
54	1	C	2	5
54	1	P	81	756
54	2	C	10	49
54	2	P	119	1055
54	3	C	39	126
54	3	P	135	1041
54	4	C	55	331
54	4	P	114	979
54	5	C	56	292
54	5	P	113	1034
54	6	C	68	517
54	6	P	118	1043
54	7	C	83	475
54	7	P	117	776
54	8	C	63	319
54	8	P	85	510
54	9	C	78	419
54	9	P	102	623
54	10	C	63	268
54	10	P	131	765
54	11	C	90	610
54	11	P	105	857
54	12	C	104	543
54	12	P	199	1059
55	1	C	4	10
55	1	P	41	192
55	2	C	12	16
55	2	P	45	209
55	3	C	13	53
55	3	P	43	194
55	4	C	17	62
55	4	P	34	163
55	5	C	23	89
55	5	P	49	216
55	6	C	47	237
55	6	P	14	26
55	7	C	46	193
55	7	P	59	199
55	8	C	69	423
55	8	P	84	528
55	9	C	112	662
55	9	P	107	667
55	10	C	60	304
55	10	P	42	116
55	11	C	115	519
55	11	P	101	522
55	12	C	57	216
55	12	P	55	148
58	1	C	1	2
58	1	P	75	804
58	2	C	4	12
58	2	P	82	712
58	3	C	14	56
58	3	P	84	979
58	4	C	46	279
58	4	P	82	834
58	5	C	38	187
58	5	P	84	756
58	6	C	42	417
58	6	P	122	1299
58	7	C	75	460
58	7	P	118	928
58	8	C	88	554
58	8	P	95	775
58	9	C	76	495
58	10	C	72	380
58	10	P	107	903
58	11	C	85	442
58	11	P	145	1219
58	12	C	81	440
58	12	P	11	17
59	1	C	4	11
59	1	P	69	367
59	2	C	3	23
59	2	P	39	322
59	3	C	4	12
59	3	P	48	208
59	4	C	15	32
59	4	P	47	228
59	6	C	26	135
59	6	P	72	366
59	7	C	63	262
59	7	P	56	262
59	8	C	70	422
59	8	P	22	52
59	9	C	63	451
59	9	P	19	34
59	10	C	63	280
59	10	P	27	48
59	11	C	60	285
59	11	P	18	43
59	12	C	62	233
59	12	P	15	29
61	1	P	44	216
61	2	C	1	1
61	2	P	57	287
61	3	C	7	36
61	3	P	57	307
61	4	C	24	108
61	4	P	81	508
61	5	C	27	170
61	5	P	71	426
61	6	C	58	344
61	6	P	78	422
61	7	C	54	343
61	7	P	121	822
61	8	C	49	309
61	8	P	108	670
61	9	C	39	122
61	9	P	51	203
61	10	C	33	141
61	10	P	54	220
61	11	C	34	116
61	11	P	26	60
61	12	C	74	415
61	12	P	76	366
62	1	P	133	1119
62	2	C	1	1
62	2	P	96	843
62	3	C	6	15
62	3	P	83	619
62	4	C	26	62
62	4	P	103	813
62	5	C	32	177
62	5	P	123	794
62	6	C	31	109
62	6	P	138	992
62	7	C	31	169
62	7	P	146	1303
62	8	C	57	288
62	8	P	141	977
62	9	C	33	165
62	9	P	124	1153
62	10	C	39	189
62	10	P	94	696
62	11	C	77	361
62	11	P	113	794
62	12	C	59	199
62	12	P	176	1368
64	1	P	42	274
64	2	C	1	2
64	2	P	44	240
64	3	C	3	7
64	3	P	37	132
64	4	C	8	25
64	4	P	49	354
64	5	C	15	87
64	5	P	43	256
64	6	C	22	103
64	6	P	67	323
64	7	C	32	201
64	7	P	57	372
64	8	C	29	143
64	8	P	49	325
64	9	C	23	86
64	9	P	32	102
64	10	C	51	248
64	10	P	29	128
64	11	C	52	316
64	11	P	60	320
64	12	C	56	386
64	12	P	24	56
65	1	C	1	1
65	1	P	66	662
65	2	C	2	3
65	2	P	81	714
65	3	C	14	42
65	3	P	124	934
65	4	C	41	187
65	4	P	112	745
65	5	C	61	380
65	5	P	94	572
65	6	C	64	280
65	6	P	101	584
65	7	C	68	428
65	7	P	102	659
65	8	C	86	313
65	8	P	108	650
65	9	C	58	394
65	9	P	88	545
65	10	C	58	302
65	10	P	97	773
65	11	C	75	380
65	11	P	118	740
65	12	C	53	199
65	12	P	78	317
66	1	P	81	840
66	2	C	6	14
66	2	P	71	686
66	3	C	20	65
66	3	P	67	503
66	4	C	27	133
66	4	P	119	1258
66	5	C	48	205
66	5	P	110	1021
66	6	C	56	258
66	6	P	84	417
66	7	C	46	297
66	7	P	70	786
66	8	C	66	500
66	8	P	85	770
66	9	C	48	307
66	9	P	113	763
66	10	C	46	159
66	10	P	65	277
66	11	C	37	104
66	11	P	92	601
66	12	C	23	104
66	12	P	61	331
68	1	P	55	355
68	2	C	1	2
68	2	P	59	324
68	3	C	10	25
68	3	P	95	580
68	4	C	13	38
68	4	P	62	315
68	5	C	46	244
68	5	P	91	449
68	6	C	43	178
68	6	P	67	347
68	7	C	36	149
68	7	P	129	873
68	8	C	29	88
68	8	P	53	313
68	9	C	13	29
68	9	P	45	128
68	10	C	35	132
68	10	P	41	103
68	11	C	39	185
68	11	P	56	233
72	1	P	71	941
72	2	P	79	944
72	3	C	1	1
72	3	P	77	799
72	4	C	29	80
72	4	P	114	1067
72	5	C	41	211
72	5	P	98	993
72	6	C	43	152
72	6	P	85	732
72	7	C	45	299
72	7	P	96	863
72	8	C	46	268
72	8	P	90	781
72	9	C	60	225
72	9	P	58	351
72	10	C	42	144
72	10	P	106	610
72	11	C	37	119
72	11	P	89	582
72	12	C	48	147
72	12	P	86	552
73	1	P	70	344
73	2	P	95	497
73	3	C	9	23
73	3	P	93	666
73	4	C	35	189
73	4	P	47	224
73	5	C	57	343
73	5	P	72	481
73	6	C	72	458
73	6	P	71	330
73	7	C	60	347
73	7	P	47	161
73	8	C	89	695
73	8	P	67	287
73	9	C	92	687
73	9	P	40	109
73	10	C	94	661
73	10	P	24	72
73	11	C	106	521
73	11	P	59	184
73	12	C	89	372
73	12	P	62	212
74	1	P	69	312
74	2	P	95	488
74	3	C	2	5
74	3	P	32	100
74	4	C	16	50
74	4	P	110	657
74	5	C	35	226
74	5	P	79	345
74	6	C	48	431
74	6	P	84	476
74	7	C	47	280
74	7	P	55	214
74	8	C	49	318
74	8	P	81	498
74	9	C	71	550
74	9	P	98	535
74	10	C	93	654
74	10	P	67	321
74	11	C	71	431
74	11	P	79	372
74	12	C	106	849
74	12	P	124	735
75	1	P	124	1574
75	2	C	3	3
75	2	P	129	1701
75	3	C	8	25
75	3	P	133	984
75	4	C	51	409
75	4	P	128	1591
75	5	C	47	483
75	5	P	107	1113
75	6	C	55	527
75	6	P	139	1532
75	7	C	66	569
75	7	P	134	1634
75	8	C	72	568
75	8	P	148	1572
75	9	C	58	446
75	9	P	167	1528
75	10	C	53	379
75	10	P	200	1663
75	11	C	79	871
75	11	P	141	1252
75	12	C	55	352
75	12	P	130	1855
76	1	P	93	739
76	2	C	3	13
76	2	P	70	1021
76	3	C	18	79
76	3	P	75	983
76	4	C	41	302
76	4	P	69	623
77	1	P	55	140
77	2	P	28	73
77	3	C	2	4
77	3	P	48	136
77	4	C	8	18
77	4	P	42	136
77	5	C	19	87
77	5	P	53	225
77	6	C	26	164
77	6	P	30	110
77	7	C	31	334
77	7	P	41	197
77	8	C	25	82
77	8	P	35	103
77	9	C	38	206
77	9	P	43	134
77	10	C	59	516
77	10	P	20	56
77	11	C	50	186
77	11	P	11	18
77	12	C	88	420
77	12	P	24	39
78	1	P	76	829
78	2	P	71	721
78	3	P	63	511
78	4	P	85	1125
78	5	P	91	911
78	6	C	5	12
78	6	P	71	496
78	7	C	11	32
78	7	P	91	679
78	8	C	32	130
78	8	P	105	920
78	9	C	34	115
78	9	P	96	740
78	10	C	37	133
78	10	P	95	644
78	11	C	27	83
78	11	P	84	512
78	12	C	41	158
78	12	P	71	448
79	1	P	88	711
79	2	C	1	1
79	2	P	65	594
79	4	C	58	412
79	4	P	112	1017
79	5	C	64	372
79	5	P	97	967
79	6	C	53	506
79	6	P	94	762
79	7	C	48	392
79	7	P	96	963
79	8	C	59	418
79	8	P	95	826
79	9	C	43	446
79	9	P	88	951
79	10	C	63	436
79	10	P	97	936
79	11	C	64	340
79	11	P	80	664
79	12	C	71	414
79	12	P	41	134
80	1	P	56	239
80	2	C	1	1
80	2	P	112	783
80	3	C	7	9
80	3	P	83	510
80	4	C	7	11
80	4	P	65	263
80	5	C	21	58
80	5	P	77	435
80	6	C	20	80
80	6	P	109	516
80	7	C	33	251
80	7	P	84	387
80	8	C	33	224
80	8	P	78	436
80	9	C	44	465
80	9	P	49	236
80	10	C	70	626
80	10	P	76	328
80	11	C	28	67
80	11	P	64	245
80	12	C	39	132
80	12	P	52	192
81	1	P	10	32
81	2	P	23	93
81	3	C	9	35
81	3	P	37	168
81	5	C	33	164
81	5	P	58	412
81	6	C	36	168
81	6	P	76	409
81	7	C	34	167
81	7	P	49	176
81	8	C	59	346
81	8	P	81	507
81	9	C	43	226
81	9	P	33	86
81	10	C	76	260
81	10	P	75	386
81	11	C	46	167
81	11	P	76	363
81	12	C	42	162
81	12	P	56	231
82	1	C	1	2
82	1	P	103	617
82	2	C	6	33
82	2	P	107	707
82	3	C	30	99
82	3	P	112	727
82	4	C	41	243
82	4	P	139	1008
82	5	C	61	349
82	5	P	126	849
82	6	C	71	431
82	6	P	128	1011
82	7	C	95	570
82	7	P	115	618
82	8	C	72	380
82	8	P	97	534
82	9	C	80	368
82	9	P	140	930
82	10	C	62	238
82	10	P	87	494
82	11	C	70	260
82	11	P	111	357
82	12	C	106	534
82	12	P	201	1203
83	1	P	131	663
83	2	P	95	569
83	3	C	2	12
83	3	P	80	461
83	4	C	3	9
83	4	P	78	394
83	5	C	13	55
83	5	P	60	285
83	6	C	28	88
83	6	P	95	522
83	7	C	41	242
83	7	P	89	688
83	8	C	41	170
83	8	P	96	441
83	9	C	73	320
83	9	P	91	463
83	10	C	59	332
83	10	P	81	454
83	11	C	50	173
83	11	P	142	779
83	12	C	82	547
83	12	P	131	577
84	1	P	98	853
84	2	P	82	668
84	3	C	4	5
84	3	P	116	927
84	4	C	2	5
84	4	P	100	691
84	5	C	15	22
84	5	P	83	591
84	6	C	28	135
84	6	P	106	805
84	7	C	46	204
84	7	P	96	815
84	8	C	53	249
84	8	P	106	856
84	9	C	68	278
84	9	P	78	487
84	10	C	79	543
84	10	P	68	440
84	11	C	68	406
84	11	P	90	554
84	12	C	63	326
84	12	P	96	796
85	1	C	1	2
85	1	P	163	1257
85	2	C	4	18
85	2	P	170	1615
85	3	C	7	32
85	3	P	209	1857
85	4	C	15	65
85	4	P	138	1267
85	5	C	34	115
85	5	P	154	1177
85	6	C	33	178
85	6	P	134	1270
85	7	C	32	132
85	7	P	105	932
85	8	C	49	197
85	8	P	128	1047
85	9	C	24	87
85	9	P	75	635
85	10	C	62	318
85	10	P	115	1017
85	11	C	58	240
85	11	P	110	1092
85	12	C	72	370
85	12	P	106	809
87	1	P	50	322
87	2	C	1	2
87	2	P	47	299
87	4	C	7	35
87	4	P	53	266
87	5	C	23	115
87	5	P	41	157
87	6	C	25	160
87	6	P	50	214
87	7	C	34	154
87	7	P	52	232
87	8	C	45	330
87	8	P	57	205
87	9	C	58	326
87	9	P	44	176
87	10	C	38	148
87	11	C	34	98
87	11	P	77	261
87	12	C	68	362
87	12	P	40	131
88	1	P	73	458
88	2	C	1	6
88	2	P	50	306
88	3	C	10	43
88	3	P	53	275
88	4	C	32	154
88	4	P	58	295
88	5	C	30	153
88	5	P	65	386
88	6	C	42	243
88	6	P	63	436
88	7	C	56	301
88	7	P	78	262
88	8	C	51	286
88	8	P	82	491
88	9	C	36	107
88	9	P	59	242
88	10	C	35	114
88	10	P	67	380
88	11	C	60	221
88	11	P	78	458
88	12	C	52	178
88	12	P	69	358
89	1	P	39	164
89	2	C	2	17
89	2	P	61	483
89	3	C	17	163
89	3	P	45	269
89	4	C	34	356
89	4	P	59	298
89	5	C	43	213
89	5	P	62	286
89	6	C	48	211
89	6	P	59	238
89	7	C	50	215
89	7	P	73	475
89	8	C	53	332
89	8	P	76	423
89	9	C	58	349
89	9	P	64	312
89	10	C	48	198
89	10	P	58	384
89	12	C	69	350
89	12	P	80	328
91	1	P	70	685
91	2	C	5	5
91	2	P	91	1011
91	3	C	48	159
91	3	P	93	745
91	4	C	47	308
91	4	P	91	595
91	5	C	51	325
91	5	P	106	806
91	6	C	44	237
91	6	P	65	298
91	7	C	76	452
91	7	P	120	755
92	1	P	79	747
92	2	C	6	17
92	2	P	91	711
92	3	C	32	95
92	3	P	83	754
92	4	C	47	293
92	4	P	97	988
92	5	C	64	334
92	5	P	125	1243
92	6	C	71	519
92	6	P	178	1485
92	7	C	68	408
92	7	P	123	1537
92	8	C	94	586
92	8	P	130	971
92	9	C	102	684
92	9	P	130	1010
92	10	C	99	662
92	10	P	123	1081
92	11	C	117	737
92	11	P	146	1023
92	12	C	62	467
92	12	P	119	1117
100	1	C	1	1
100	1	P	66	653
100	2	C	2	2
100	2	P	74	769
100	3	C	31	87
100	3	P	103	798
100	4	C	34	254
100	4	P	79	763
100	5	C	59	388
100	5	P	87	528
100	6	C	51	283
100	6	P	93	874
100	7	C	70	513
100	7	P	99	753
100	8	C	99	602
100	8	P	112	729
100	9	C	81	478
100	9	P	82	560
100	10	C	71	397
100	10	P	93	822
100	11	C	95	564
100	11	P	107	919
100	12	C	81	537
100	12	P	56	274
102	1	P	93	873
102	2	P	94	826
102	3	C	3	19
102	3	P	91	875
102	4	C	6	27
102	4	P	98	773
102	5	C	34	139
102	5	P	111	1076
102	6	C	45	207
102	6	P	115	1005
102	7	C	56	213
102	7	P	130	982
102	8	C	59	336
102	8	P	115	1013
102	9	C	58	290
102	9	P	79	461
102	10	C	48	328
102	10	P	77	542
102	11	C	50	249
102	11	P	131	1161
102	12	C	55	234
102	12	P	125	925
103	1	C	1	3
103	1	P	106	801
103	2	C	14	35
103	2	P	100	819
103	3	C	42	129
103	3	P	128	1160
103	4	C	65	439
103	4	P	129	887
103	5	C	58	392
103	5	P	126	767
103	6	C	63	399
103	6	P	119	559
103	7	C	76	360
103	7	P	122	615
103	8	C	66	317
103	8	P	118	631
103	9	C	57	276
103	9	P	106	568
103	10	C	70	495
103	10	P	94	594
103	11	C	48	161
103	11	P	87	394
103	12	C	69	423
103	12	P	109	675
105	1	P	87	769
105	2	C	1	1
105	2	P	96	852
105	3	C	6	9
105	3	P	96	920
105	4	C	14	29
105	4	P	114	891
105	5	C	19	177
105	5	P	108	1167
105	6	C	25	278
105	6	P	92	843
105	7	C	39	275
105	7	P	108	828
105	8	C	40	237
105	8	P	116	866
105	9	C	45	207
105	9	P	79	470
105	10	C	72	301
105	10	P	85	448
105	11	C	41	127
105	11	P	82	579
105	12	C	59	386
105	12	P	68	299
106	1	P	95	841
106	2	C	1	5
106	2	P	103	712
106	3	C	8	29
106	3	P	106	893
106	5	C	34	192
106	5	P	127	922
106	6	C	42	195
106	6	P	73	379
106	7	C	36	107
106	7	P	105	813
106	8	C	31	132
106	8	P	93	605
106	9	C	34	159
106	9	P	82	491
106	10	C	53	254
106	10	P	106	756
106	11	C	72	333
106	11	P	121	820
106	12	C	52	204
106	12	P	202	1111
107	1	C	2	6
107	1	P	63	540
107	2	C	3	19
107	2	P	72	595
107	3	C	3	3
107	3	P	66	476
107	4	C	15	31
107	4	P	80	624
107	5	C	28	101
107	5	P	103	1227
107	6	C	30	72
107	6	P	89	820
107	7	C	45	214
107	7	P	105	939
107	8	C	66	423
107	8	P	121	1081
107	9	C	51	276
107	9	P	88	972
107	10	C	57	301
107	10	P	94	720
107	11	C	43	244
107	11	P	101	830
107	12	C	69	341
107	12	P	119	891
108	1	P	79	603
108	2	P	93	685
108	3	C	14	43
108	3	P	106	888
108	4	C	60	276
108	4	P	109	723
108	5	C	59	256
108	5	P	137	1089
108	6	C	50	210
108	6	P	163	1270
108	7	C	65	445
108	7	P	129	960
108	8	C	61	285
108	8	P	146	916
108	9	C	65	296
108	9	P	86	592
108	10	C	56	282
108	10	P	90	661
108	11	C	88	499
108	11	P	115	682
108	12	C	55	210
108	12	P	104	592
109	1	P	116	727
109	2	P	99	529
109	3	C	1	2
109	3	P	134	803
109	4	C	3	20
109	4	P	53	250
109	5	C	16	61
109	5	P	102	712
109	6	C	20	65
109	6	P	82	485
109	7	C	56	259
109	7	P	97	752
109	8	C	45	222
109	8	P	109	764
109	9	C	58	469
109	9	P	122	929
109	10	C	71	464
109	10	P	87	513
109	11	C	53	194
109	11	P	104	552
109	12	C	82	410
109	12	P	97	488
110	1	P	64	493
110	2	C	3	49
110	2	P	74	595
110	3	C	23	142
110	3	P	84	601
110	4	C	44	366
110	4	P	84	553
119	1	C	1	1
119	1	P	90	1145
119	2	C	1	3
119	2	P	82	783
119	3	C	8	15
119	3	P	114	1214
119	4	C	30	133
119	4	P	124	1065
119	5	C	29	191
119	5	P	113	977
119	6	C	41	189
119	6	P	85	747
119	7	C	65	310
119	7	P	123	984
119	8	C	59	223
119	8	P	93	832
119	9	C	59	357
119	9	P	101	671
119	10	C	64	311
119	10	P	124	1173
119	11	C	59	344
119	11	P	119	813
119	12	C	82	429
119	12	P	148	1109
123	1	P	76	517
123	2	C	1	1
123	2	P	47	212
123	3	C	3	6
123	3	P	55	284
123	4	C	9	21
123	4	P	117	539
123	5	C	25	63
123	5	P	90	465
123	6	C	42	241
123	6	P	77	523
124	1	C	1	1
124	1	P	94	708
124	2	P	98	634
124	3	C	7	24
124	3	P	78	737
124	5	C	12	33
124	5	P	62	345
124	6	C	45	149
124	6	P	77	279
124	7	C	34	101
124	7	P	134	1026
124	8	C	23	112
124	8	P	64	247
124	9	C	51	115
124	9	P	81	311
124	10	C	32	93
124	10	P	39	128
124	12	C	43	173
124	12	P	75	322
125	1	P	41	110
125	2	P	110	513
125	3	C	7	14
125	3	P	13	19
125	4	C	39	165
125	4	P	194	928
125	5	C	59	331
125	5	P	98	510
125	6	C	66	419
125	6	P	156	871
125	7	C	60	277
125	7	P	92	462
125	8	C	42	121
125	8	P	150	810
125	9	C	35	136
125	9	P	123	440
125	10	C	62	276
125	10	P	51	183
125	11	C	76	327
125	11	P	49	137
125	12	C	41	144
125	12	P	57	179
126	1	P	84	766
126	3	C	1	2
126	3	P	70	397
126	4	C	14	32
126	4	P	95	683
126	5	C	23	93
126	5	P	91	409
126	6	C	40	195
126	6	P	58	286
126	7	C	61	301
126	7	P	122	530
126	8	C	43	171
126	8	P	69	385
127	1	C	1	7
127	1	P	81	543
127	2	C	3	10
127	2	P	61	325
127	3	C	19	31
127	3	P	85	517
127	4	C	25	76
127	4	P	64	310
127	5	C	33	72
127	5	P	112	625
127	6	C	30	123
127	6	P	129	911
127	7	C	52	249
127	7	P	98	688
127	8	C	73	322
127	8	P	66	230
127	9	C	35	169
127	9	P	114	886
127	10	C	66	300
127	10	P	196	1452
127	11	C	47	253
127	11	P	157	1432
127	12	C	44	202
