subj	sess	spkr	UTT	TOK	TYP	MLU
77	9	P	145	660	186	4.55172413793
77	9	C	309	951	147	3.07766990291
78	8	P	1175	5118	487	4.35574468085
78	8	C	481	939	165	1.95218295218
78	9	P	1040	4669	505	4.48942307692
78	9	C	374	904	192	2.41711229947
79	8	P	1113	5115	521	4.59568733154
79	8	C	752	2609	355	3.46941489362
79	9	P	1685	6926	577	4.11038575668
79	9	C	976	2855	304	2.92520491803
80	8	P	608	2126	319	3.49671052632
80	8	C	511	1325	182	2.59295499022
80	9	P	356	1301	273	3.65449438202
80	9	C	944	2590	238	2.7436440678
81	8	P	689	2663	397	3.86502177068
81	8	C	654	2089	283	3.19418960245
81	9	P	122	486	152	3.98360655738
81	9	C	317	1328	223	4.18927444795
82	8	P	707	2694	404	3.81046676096
82	8	C	737	2150	342	2.91723202171
82	9	P	1223	5476	595	4.47751430908
82	9	C	730	2630	372	3.60273972603
83	8	P	624	2709	455	4.34134615385
83	8	C	475	1237	239	2.60421052632
83	9	P	597	2881	462	4.82579564489
83	9	C	551	2012	333	3.65154264973
84	8	P	1086	4663	513	4.29373848987
84	8	C	703	1808	278	2.57183499289
84	9	P	743	3822	470	5.14401076716
84	9	C	642	2025	314	3.15420560748
85	8	P	1202	5791	591	4.81780366057
85	8	C	545	1288	246	2.36330275229
85	9	P	815	3656	441	4.48588957055
85	9	C	379	767	169	2.02374670185
87	8	P	296	1096	259	3.7027027027
87	8	C	778	1887	241	2.42544987147
87	9	P	255	1057	267	4.14509803922
87	9	C	627	1782	283	2.84210526316
88	8	P	613	2826	410	4.6101141925
88	8	C	553	1624	307	2.93670886076
88	9	P	351	1462	279	4.16524216524
88	9	C	195	632	164	3.24102564103
89	8	P	609	2500	330	4.10509031199
89	8	C	751	1982	250	2.63914780293
89	9	P	562	2508	353	4.46263345196
89	9	C	744	2308	284	3.10215053763
92	8	P	1439	5677	622	3.94510076442
92	8	C	881	3941	453	4.47332576617
92	9	P	1676	5916	619	3.52983293556
92	9	C	1031	4114	495	3.99030067895
100	8	P	1352	4776	506	3.5325443787
100	8	C	878	3258	414	3.71070615034
100	9	P	897	3892	396	4.33890746934
100	9	C	799	3120	348	3.90488110138
102	8	P	1561	6080	579	3.89493914158
102	8	C	642	2266	334	3.52959501558
102	9	P	1174	5257	453	4.47785349233
102	9	C	614	2025	307	3.29804560261
103	8	P	848	3784	574	4.46226415094
103	8	C	506	1958	337	3.86956521739
103	9	P	861	3471	545	4.03135888502
103	9	C	652	2074	398	3.18098159509
105	8	P	993	5089	596	5.12487411883
105	8	C	518	1267	228	2.44594594595
105	9	P	805	3475	438	4.31677018634
105	9	C	421	1185	215	2.81472684086
106	8	P	790	3451	464	4.36835443038
106	8	C	379	859	199	2.26649076517
106	9	P	639	2945	416	4.60876369327
106	9	C	403	951	184	2.35980148883
107	8	P	1468	6297	523	4.28950953678
107	8	C	681	2639	358	3.8751835536
107	9	P	1676	7268	538	4.33651551313
107	9	C	677	2061	337	3.04431314623
108	8	P	1190	5158	766	4.33445378151
108	8	C	662	1847	317	2.79003021148
108	9	P	1799	7205	796	4.00500277932
108	9	C	599	1742	291	2.9081803005
109	8	P	952	4607	494	4.83928571429
109	8	C	556	1666	233	2.9964028777
109	9	P	973	5655	550	5.81192189106
109	9	C	923	2940	294	3.18526543879
119	8	P	935	4119	480	4.40534759358
119	8	C	548	1402	271	2.55839416058
119	9	P	902	4204	506	4.66075388027
119	9	C	731	2303	329	3.15047879617
124	8	P	335	1338	315	3.99402985075
124	8	C	343	918	145	2.67638483965
124	9	P	1043	4458	638	4.27420901246
124	9	C	324	759	237	2.34259259259
125	8	P	1032	4743	689	4.59593023256
125	8	C	226	824	231	3.64601769912
125	9	P	511	2996	606	5.86301369863
125	9	C	274	976	239	3.56204379562
126	8	P	487	1943	323	3.98973305955
126	8	C	270	895	220	3.31481481481
127	8	P	289	1314	312	4.54671280277
127	8	C	614	2086	320	3.39739413681
127	9	P	1054	5027	527	4.76944971537
127	9	C	331	1134	209	3.42598187311
