subject	session	speaker	protocol	last_update	utterances	word_tokens	word_types	mlu
100	8	P	H		1352	4776	506	3.5325443787
100	8	C	H		878	3258	414	3.71070615034
100	9	P	H		897	3892	396	4.33890746934
100	9	C	H		799	3120	348	3.90488110138
100	10	P	H		1263	5542	485	4.38796516231
100	10	C	H		602	2364	344	3.926910299
100	11	P	H		1276	5430	527	4.25548589342
100	11	C	H		834	3625	417	4.34652278177
100	12	P	H		375	1550	293	4.13333333333
100	12	C	H		780	3084	372	3.95384615385
102	1	P	H		1445	4599	511	3.18269896194
102	1	C	H		1	1	1	1.0
102	2	P	H		1337	4727	460	3.53552729993
102	2	C	H		171	205	22	1.19883040936
102	3	P	H		1307	5111	515	3.91048201989
102	3	C	H		120	139	29	1.15833333333
102	4	P	H		1064	4645	540	4.36560150376
102	4	C	H		284	365	74	1.28521126761
102	5	P	H		1335	6154	513	4.60973782772
102	5	C	H		507	1123	202	2.21499013807
102	6	P	H		1117	5576	510	4.99194270367
102	6	C	H		476	1282	232	2.69327731092
102	7	P	H		1625	6100	603	3.75384615385
102	7	C	H		426	1392	259	3.2676056338
102	8	P	H		1561	6080	579	3.89493914158
102	8	C	H		642	2266	334	3.52959501558
102	9	P	H		1174	5257	453	4.47785349233
102	9	C	H		614	2025	307	3.29804560261
102	10	P	H		1234	6176	534	5.00486223663
102	10	C	H		589	2325	291	3.94736842105
102	11	P	H		1474	7307	677	4.95725915875
102	11	C	H		557	1915	385	3.43806104129
102	12	P	H		1168	5478	523	4.69006849315
102	12	C	H		391	1443	250	3.6905370844
103	1	P	H		1335	4658	555	3.48913857678
103	1	C	H		121	165	49	1.36363636364
103	2	P	H		1287	4895	510	3.80341880342
103	2	C	H		486	563	161	1.15843621399
103	3	P	H		1544	6661	664	4.31411917098
103	3	C	H		563	1079	262	1.91651865009
103	4	P	H		1317	5473	626	4.15565679575
103	4	C	H		875	2484	375	2.83885714286
103	5	P	H		1055	4675	571	4.43127962085
103	5	C	H		668	2412	316	3.61077844311
103	6	P	H		814	3436	531	4.22113022113
103	6	C	H		773	2539	343	3.28460543338
103	7	P	H		791	3757	499	4.74968394437
103	7	C	H		624	2428	402	3.89102564103
103	8	P	H		848	3784	574	4.46226415094
103	8	C	H		506	1958	337	3.86956521739
103	9	P	H		861	3471	545	4.03135888502
103	9	C	H		652	2074	398	3.18098159509
103	10	P	H		801	3789	518	4.73033707865
103	10	C	H		695	3068	457	4.41438848921
103	11	P	H		549	2375	394	4.32604735883
103	11	C	H		312	1053	265	3.375
103	12	P	H		1035	4180	537	4.038647343
103	12	C	H		901	2925	448	3.24639289678
105	1	P	H		1086	4179	439	3.84806629834
105	1	C	H		21	21	5	1.0
105	2	P	H		1261	4567	428	3.62172878668
105	2	C	H		339	340	32	1.00294985251
105	3	P	H		1310	4905	481	3.74427480916
105	3	C	H		468	477	111	1.01923076923
105	4	P	H		1203	5099	522	4.23857024106
105	4	C	H		626	719	158	1.14856230032
105	5	P	H		1487	6577	540	4.42299932751
105	5	C	H		697	1267	166	1.81779053085
105	6	P	H		1064	4382	474	4.11842105263
105	6	C	H		613	1641	210	2.67699836868
105	7	P	H		1110	4545	571	4.09459459459
105	7	C	H		768	1974	276	2.5703125
105	8	P	H		993	5089	596	5.12487411883
105	8	C	H		518	1267	228	2.44594594595
105	9	P	H		805	3475	438	4.31677018634
105	9	C	H		421	1185	215	2.81472684086
105	10	P	H		949	4223	534	4.44994731296
105	10	C	H		652	1752	317	2.68711656442
105	11	P	H		730	3346	455	4.58356164384
105	11	C	H		375	965	247	2.57333333333
105	12	P	H		376	1905	319	5.0664893617
105	12	C	H		603	2172	398	3.60199004975
106	1	P	H		1219	5208	598	4.27235438884
106	1	C	H		40	62	14	1.55
106	2	P	H		1222	4431	538	3.62602291326
106	2	C	H		169	174	31	1.02958579882
106	3	P	H		1363	5212	564	3.82391782832
106	3	C	H		380	464	125	1.22105263158
106	5	P	H		1350	5754	561	4.26222222222
106	5	C	H		535	1188	217	2.22056074766
106	6	P	H		547	2264	368	4.13893967093
106	6	C	H		552	1313	272	2.37862318841
106	7	P	H		1239	4947	553	3.99273607748
106	7	C	H		699	1155	228	1.65236051502
106	8	P	H		790	3451	464	4.36835443038
106	8	C	H		379	859	199	2.26649076517
106	9	P	H		639	2945	416	4.60876369327
106	9	C	H		403	951	184	2.35980148883
106	10	P	H		1064	4684	624	4.4022556391
106	10	C	H		679	1786	343	2.63033873343
106	11	P	H		948	4931	628	5.20147679325
106	11	C	H		674	2028	396	3.00890207715
106	12	P	H		1326	6947	1042	5.23906485671
106	12	C	H		456	1262	282	2.76754385965
107	1	P	H		1052	3336	412	3.1711026616
107	1	C	H		109	165	59	1.51376146789
