subject_number	subject_project	visit_type	visit_status	projected_visit		
153.0	3	1G_2	0	0.0		
153.0	3	1G_3	0	0.0		
153.0	3	2G_1	0	0.0		
153.0	3	2G_2	0	0.0		
153.0	3	2G_3	0	0.0		
153.0	3	3G_1	0	0.0		
153.0	3	3G_2	0	0.0		
153.0	3	3G_3	0	0.0		
153.0	3	4G_1	0	0.0		
153.0	3	4G_2	0	0.0		
153.0	3	4G_3	0	0.0		
153.0	3	KG_3	0	0.0		
156.0	3	01H	0	0.0		
156.0	3	02H	0	0.0		
156.0	3	03H	1.0	0.0		
156.0	3	04H	1.0	0.0		
156.0	3	05H	1.0	0.0		
156.0	3	06H	1.0	0.0		
